1,Garcia,PROGRAMACION,1300.00
2,Lopez,SISTEMAS INFORMATICOS,1250.00
3,Perez,BASES DE DATOS,1400.00
4,Sanchez,DESARROLLO WEB,1500.00
5,Ruiz,ACCESO A DATOS,1200.00
6,Hernandez,ENTORNOS DE DESARROLLO,1350.00
7,Diaz,PROGRAMACION,1280.00
8,Martin,DESARROLLO DE INTERFACES,1450.00
9,Castro,SERVICIOS EN RED,1380.00
10,Vega,PROGRAMACION,1320.00
11,Navarro,ACCESO A DATOS,1210.00
12,Romero,DESPLIEGUE DE APLICACIONES,1420.00
13,Marin,DESARROLLO WEB,1490.00
14,Ortega,SISTEMAS INFORMATICOS,1260.00
15,Rey,BASES DE DATOS,1390.00
16,Silva,PROGRAMACION,1310.00
17,Ibanez,DESARROLLO DE INTERFACES,1470.00
18,Carrasco,SERVICIOS EN RED,1370.00
19,Molina,ENTORNOS DE DESARROLLO,1340.00
20,Suarez,DESPLIEGUE DE APLICACIONES,1430.00
